DATE,UNEM_RATE,MORTGAGE,GDPC1,FORECLOSURES,HPI,POPULATION
01-01-2000,4.03,8.26,12935.252,1.95,101.34,178143000
01-04-2000,3.93,8.32,13170.749,1.97,103.67,178578000
01-07-2000,4,8.02,13183.89,2.09,105.79,179227000
01-10-2000,3.9,7.62,13262.25,2.23,108.27,179811000
01-01-2001,4.23,7.01,13219.251,2.34,110.48,180310000
01-04-2001,4.4,7.13,13301.394,2.41,112.2,180889000
01-07-2001,4.83,6.96,13248.142,2.18,114.16,181549000
01-10-2001,5.5,6.77,13284.881,2.25,115.87,182162000
01-01-2002,5.7,6.97,13394.91,2.24,117.89,182698000
01-04-2002,5.83,6.81,13477.356,2.16,120.72,183260000
01-07-2002,5.73,6.29,13531.741,2.1,123.83,183869000
01-10-2002,5.87,6.08,13549.421,2,126.67,184460000
01-01-2003,5.87,5.84,13619.434,1.97,129.32,185776000
01-04-2003,6.13,5.51,13741.107,1.83,131.76,186398000
01-07-2003,6.13,6.03,13970.157,1.73,135.01,187003000
01-10-2003,5.83,5.92,14131.379,1.76,138.83,187653000
01-01-2004,5.7,5.6,14212.34,1.65,143.3,187710000
01-04-2004,5.6,6.11,14323.017,1.6,148.21,188258000
01-07-2004,5.43,5.89,14457.832,1.55,152.72,188805000
01-10-2004,5.43,5.74,14605.595,1.42,157.54,189434000
01-01-2005,5.3,5.77,14767.846,1.41,163.48,189949000
01-04-2005,5.1,5.71,14839.707,1.55,169.35,190459000
01-07-2005,4.97,5.76,14956.291,1.59,174.58,191069000
01-10-2005,4.97,6.23,15041.232,1.64,179.54,191753000
01-01-2006,4.73,6.25,15244.088,1.61,183.32,192191000
01-04-2006,4.63,6.6,15281.525,1.62,184,192690000
01-07-2006,4.63,6.56,15304.517,1.74,182.82,193287000
01-10-2006,4.43,6.24,15433.643,1.92,183.65,193878000
01-01-2007,4.5,6.21,15478.956,2.08,184.42,194704000
01-04-2007,4.5,6.36,15577.779,2.3,181.62,195205000
01-07-2007,4.67,6.55,15671.605,2.71,178.26,195724000
01-10-2007,4.8,6.22,15767.146,3.1,175.37,196271000
01-01-2008,5,5.87,15702.906,3.68,171.58,195806000
01-04-2008,5.33,6.09,15792.773,4.36,166.67,196196000
01-07-2008,6,6.32,15709.562,5.27,161.96,196699000
01-10-2008,6.87,5.84,15366.607,6.58,156.03,197175000
01-01-2009,8.27,5.06,15187.475,8.02,150.06,197062000
01-04-2009,9.3,5.01,15161.772,8.58,147.91,197410000
01-07-2009,9.63,5.16,15216.647,9.46,148.24,197891000
01-10-2009,9.93,4.92,15379.155,10.36,147.97,198318000
01-01-2010,9.83,5,15456.059,11.54,146.29,198431000
01-04-2010,9.63,4.92,15605.628,11.08,146.17,198756000
01-07-2010,9.47,4.45,15726.282,10.61,143.97,199182000
01-10-2010,9.5,4.44,15807.995,10.37,142.25,199624000
01-01-2011,9.03,4.85,15769.911,10.33,140.62,199321000
01-04-2011,9.07,4.65,15876.839,10.54,139.93,199668000
01-07-2011,9,4.29,15870.684,10.54,139.24,200036000
01-10-2011,8.63,4,16048.702,10.26,137.26,200224000
01-01-2012,8.27,3.92,16179.968,10.34,137.02,201184000
01-04-2012,8.2,3.79,16253.726,10.45,140.12,201303000
01-07-2012,8.03,3.55,16282.151,10.47,142.29,201478000
01-10-2012,7.8,3.36,16300.035,10.01,144.56,201478000
01-01-2013,7.73,3.5,16441.485,9.74,148.19,201570000
01-04-2013,7.53,3.67,16464.402,9.32,152.86,201939000
01-07-2013,7.23,4.44,16594.743,8.65,156.94,202104000
01-10-2013,6.93,4.29,16712.76,8.29,160.11,202303000
01-01-2014,6.67,4.36,16654.247,7.78,162.52,202494000
01-04-2014,6.2,4.23,16868.109,7.43,163.71,202650000
01-07-2014,6.07,4.14,17064.616,7.05,165.24,202801000
01-10-2014,5.7,3.96,17141.235,6.5,167.35,203021000
01-01-2015,5.53,3.72,17280.647,6.24,169.21,203259000
01-04-2015,5.43,3.82,17380.875,5.82,170.9,203943000
01-07-2015,5.1,3.95,17437.08,5.39,172.98,204049000
01-10-2015,5.03,3.9,17462.579,5.1,175.71,204565000
01-01-2016,4.9,3.74,17565.465,4.78,177.71,205075000
01-04-2016,4.93,3.59,17618.581,4.59,179.47,205300000
01-07-2016,4.9,3.45,17724.489,4.39,181.88,205532000
01-10-2016,4.77,3.84,17812.56,4.15,184.74,205781000
01-01-2017,4.57,4.17,17896.623,3.9,187.37,205304000
01-04-2017,4.4,3.98,17996.802,3.68,189.72,205348000
01-07-2017,4.3,3.88,18126.226,3.64,192.72,205595000
01-10-2017,4.13,3.92,18296.685,3.57,195.91,205716000
01-01-2018,4.03,4.28,18436.262,3.49,199.11,206253000
01-04-2018,3.93,4.54,18590.004,3.22,201.68,206365000
01-07-2018,3.77,4.57,18679.599,2.97,203.79,206518000
01-10-2018,3.83,4.78,18721.281,2.83,205.44,206733000
01-01-2019,3.87,4.37,18833.195,2.7,206.69,206121000
01-04-2019,3.67,4.01,18982.528,2.61,208.56,206242000
01-07-2019,3.6,3.66,19112.653,2.42,210.33,206263000
01-10-2019,3.6,3.7,19202.31,2.34,212.47,206344000
01-01-2020,3.8,3.52,18951.992,2.36,215.51,205690000
01-04-2020,13.07,3.24,17258.205,2.55,217.89,205694000
01-07-2020,8.8,2.95,18560.774,2.8,222.84,205745000
01-10-2020,6.77,2.76,18767.778,2.74,232.55,205707000
